source,rule,r1,r2,r3,std_support,std_body,std_confidence,pca_support,pca_body,pca_confidence
inductive_inverse,"boyCousinOf(X,Y) -> boyFirstCousinOnceRemovedOf(Y,X)",boyCousinOf,boyFirstCousinOnceRemovedOf,,0,391,0.0,0,28,0.0
inductive_inverse,"boyCousinOf(X,Y) -> boySecondCousinOf(Y,X)",boyCousinOf,boySecondCousinOf,,0,391,0.0,0,6,0.0
inductive_inverse,"boyCousinOf(X,Y) -> brotherOf(Y,X)",boyCousinOf,brotherOf,,0,391,0.0,0,127,0.0
inductive_inverse,"boyCousinOf(X,Y) -> daughterOf(Y,X)",boyCousinOf,daughterOf,,0,391,0.0,0,209,0.0
inductive_inverse,"boyCousinOf(X,Y) -> fatherOf(Y,X)",boyCousinOf,fatherOf,,0,391,0.0,0,60,0.0
inductive_inverse,"boyCousinOf(X,Y) -> girlFirstCousinOnceRemovedOf(Y,X)",boyCousinOf,girlFirstCousinOnceRemovedOf,,0,391,0.0,0,22,0.0
inductive_inverse,"boyCousinOf(X,Y) -> girlSecondCousinOf(Y,X)",boyCousinOf,girlSecondCousinOf,,0,391,0.0,0,7,0.0
inductive_inverse,"boyCousinOf(X,Y) -> granddaughterOf(Y,X)",boyCousinOf,granddaughterOf,,0,391,0.0,0,209,0.0
inductive_inverse,"boyCousinOf(X,Y) -> grandfatherOf(Y,X)",boyCousinOf,grandfatherOf,,0,391,0.0,0,16,0.0
inductive_inverse,"boyCousinOf(X,Y) -> grandmotherOf(Y,X)",boyCousinOf,grandmotherOf,,0,391,0.0,0,13,0.0
inductive_inverse,"boyCousinOf(X,Y) -> grandsonOf(Y,X)",boyCousinOf,grandsonOf,,0,391,0.0,0,182,0.0
inductive_inverse,"boyCousinOf(X,Y) -> greatAuntOf(Y,X)",boyCousinOf,greatAuntOf,,0,391,0.0,0,21,0.0
inductive_inverse,"boyCousinOf(X,Y) -> greatGranddaughterOf(Y,X)",boyCousinOf,greatGranddaughterOf,,0,391,0.0,0,150,0.0
inductive_inverse,"boyCousinOf(X,Y) -> greatGrandfatherOf(Y,X)",boyCousinOf,greatGrandfatherOf,,0,391,0.0,0,6,0.0
inductive_inverse,"boyCousinOf(X,Y) -> greatGrandmotherOf(Y,X)",boyCousinOf,greatGrandmotherOf,,0,391,0.0,0,1,0.0
inductive_inverse,"boyCousinOf(X,Y) -> greatGrandsonOf(Y,X)",boyCousinOf,greatGrandsonOf,,0,391,0.0,0,117,0.0
inductive_inverse,"boyCousinOf(X,Y) -> greatUncleOf(Y,X)",boyCousinOf,greatUncleOf,,0,391,0.0,0,17,0.0
inductive_inverse,"boyCousinOf(X,Y) -> motherOf(Y,X)",boyCousinOf,motherOf,,0,391,0.0,0,51,0.0
inductive_inverse,"boyCousinOf(X,Y) -> nephewOf(Y,X)",boyCousinOf,nephewOf,,0,391,0.0,0,182,0.0
inductive_inverse,"boyCousinOf(X,Y) -> nieceOf(Y,X)",boyCousinOf,nieceOf,,0,391,0.0,0,209,0.0
inductive_inverse,"boyCousinOf(X,Y) -> secondAuntOf(Y,X)",boyCousinOf,secondAuntOf,,0,391,0.0,0,151,0.0
inductive_inverse,"boyCousinOf(X,Y) -> secondUncleOf(Y,X)",boyCousinOf,secondUncleOf,,0,391,0.0,0,127,0.0
inductive_inverse,"boyCousinOf(X,Y) -> sisterOf(Y,X)",boyCousinOf,sisterOf,,0,391,0.0,0,162,0.0
inductive_inverse,"boyCousinOf(X,Y) -> sonOf(Y,X)",boyCousinOf,sonOf,,0,391,0.0,0,182,0.0
inductive_inverse,"boyCousinOf(X,Y) -> uncleOf(Y,X)",boyCousinOf,uncleOf,,0,391,0.0,0,68,0.0
inductive_inverse,"boyFirstCousinOnceRemovedOf(X,Y) -> auntOf(Y,X)",boyFirstCousinOnceRemovedOf,auntOf,,0,180,0.0,0,32,0.0
inductive_inverse,"boyFirstCousinOnceRemovedOf(X,Y) -> boyCousinOf(Y,X)",boyFirstCousinOnceRemovedOf,boyCousinOf,,0,180,0.0,0,82,0.0
inductive_inverse,"boyFirstCousinOnceRemovedOf(X,Y) -> boyFirstCousinOnceRemovedOf(Y,X)",boyFirstCousinOnceRemovedOf,boyFirstCousinOnceRemovedOf,,0,180,0.0,0,5,0.0
inductive_inverse,"boyFirstCousinOnceRemovedOf(X,Y) -> boySecondCousinOf(Y,X)",boyFirstCousinOnceRemovedOf,boySecondCousinOf,,0,180,0.0,0,0,0
inductive_inverse,"boyFirstCousinOnceRemovedOf(X,Y) -> brotherOf(Y,X)",boyFirstCousinOnceRemovedOf,brotherOf,,0,180,0.0,0,54,0.0
inductive_inverse,"boyFirstCousinOnceRemovedOf(X,Y) -> daughterOf(Y,X)",boyFirstCousinOnceRemovedOf,daughterOf,,0,180,0.0,0,98,0.0
inductive_inverse,"boyFirstCousinOnceRemovedOf(X,Y) -> fatherOf(Y,X)",boyFirstCousinOnceRemovedOf,fatherOf,,0,180,0.0,0,22,0.0
inductive_inverse,"boyFirstCousinOnceRemovedOf(X,Y) -> girlCousinOf(Y,X)",boyFirstCousinOnceRemovedOf,girlCousinOf,,0,180,0.0,0,98,0.0
inductive_inverse,"boyFirstCousinOnceRemovedOf(X,Y) -> girlFirstCousinOnceRemovedOf(Y,X)",boyFirstCousinOnceRemovedOf,girlFirstCousinOnceRemovedOf,,0,180,0.0,0,3,0.0
inductive_inverse,"boyFirstCousinOnceRemovedOf(X,Y) -> girlSecondCousinOf(Y,X)",boyFirstCousinOnceRemovedOf,girlSecondCousinOf,,0,180,0.0,0,2,0.0
inductive_inverse,"boyFirstCousinOnceRemovedOf(X,Y) -> granddaughterOf(Y,X)",boyFirstCousinOnceRemovedOf,granddaughterOf,,0,180,0.0,0,98,0.0
inductive_inverse,"boyFirstCousinOnceRemovedOf(X,Y) -> grandfatherOf(Y,X)",boyFirstCousinOnceRemovedOf,grandfatherOf,,0,180,0.0,0,5,0.0
inductive_inverse,"boyFirstCousinOnceRemovedOf(X,Y) -> grandmotherOf(Y,X)",boyFirstCousinOnceRemovedOf,grandmotherOf,,0,180,0.0,0,5,0.0
inductive_inverse,"boyFirstCousinOnceRemovedOf(X,Y) -> grandsonOf(Y,X)",boyFirstCousinOnceRemovedOf,grandsonOf,,0,180,0.0,0,82,0.0
